Player,Nationality,Born,Region,Status,Current Role,Team,Approx. Total Winnings,Controller
MaRc_By_8.,Spain,21,Europe,Active,Player,ARG,"$227,587",PlayStation
M0nkey_M00n,France,19,Europe,Active,Player,Team BDS,"$455,111",PlayStation
Extra,France,20,Europe,Active,Player,Team BDS,"$457,670",Not Listed
Fairy_Peak!,France,24,Europe,Active,Player,,"$416,945",PlayStation
Kaydop,France,24,Europe,Active,Player,Team Vitality,"$529,745",Xbox
Alpha54,France,19,Europe,Active,Player,Team Vitality,"$221,285",Not Listed
Joyo,England,16,Europe,Active,Player,Moist Esports,"$139,319",Not Listed
Vatira,France,16,Europe,Active,Player,Moist Esports,"$138,311",PlayStation
Rise.,England,17,Europe,Active,Player,Moist Esports,"$141,051",PlayStation
Mittaen,Netherlands,21,Europe,Active,Player,,"$34,277",PlayStation
Arju,Italy,19,Europe,Active,Player,Reply Totem,"$48,872",Not Listed
Kash,England,20,Europe,Active,Player,,"$32,470",Not Listed
Kassio,France,21,Europe,Active,Player,SMPR Esports,"$163,083",PlayStation
Archie,England,17,Europe,Active,Player,SMPR Esports,"$115,070",PlayStation
Chausette45,France,21,Europe,Active,Player,SMPR Esports,"$200,116",Not Listed
RelatingWave,England,19,Europe,Active,Player,,"$107,860",Thrustmaster eSwap Pro Controller
Metsanauris,Finland,23,Europe,Active,Player,,"$236,014",Thrustmaster eSwap controller
Seikoo,France,18,Europe,Active,Player,Team BDS,"$268,918",PlayStation
Joreuz,Netherlands,17,Europe,Active,Player,Dignitas,"$113,798",PlayStation
ApparentlyJack,England,18,Europe,Active,Player,Dignitas,"$96,158",PlayStation
Scrub_Killa,Scotland,19,Europe,Active,Player,Dignitas,"$298,669",PlayStation
Stake,Spain,22,Europe,Active,Player,,"$72,981",Not Listed
Itachi,Morocco,19,Europe,Active,Player,Karmine Corp,"$97,852",Not Listed
AztraL,Belgium,19,Europe,Active,Player,Karmine Corp,"$185,223",Thrustmaster eSwap Pro Controller
AtomiK,Spain,17,Europe,Active,Player,ARG,"$76,707",Thrustmaster eSwap Pro Controller
DmentZa,SpainColombia,20,Europe,Retired,Player,,"$50,989",PlayStation
VKSailen,Spain,19,Europe,Active,Player,Aogiri,"$49,682",PlayStation
ThO.,Netherlands,20,Europe,Active,Player,,"$80,160",PlayStation
Oaly.,Netherlands,18,Europe,Active,Player,,"$26,535",Not Listed
ViolentPanda,Netherlands,23,Europe,Active,Player,Sector One,"$309,280",Xbox
Yukeo,Austria,22,Europe,Active,Player,,"$142,230",KBM
Tox,Germany,19,Europe,Active,Player,Morekats Gaming,"$78,196",PlayStation
Eekso,England,20,Europe,Active,Player,Luminosity Gaming,"$63,356",Not Listed
Tigreee,Germany,22,Europe,Active,Player,,"$61,016",PlayStation
Dead-Monster,Italy,21,Europe,Active,Player,,"$14,280",PlayStation
LuiisP,SpainGermany,18,Europe,Active,Player,Natus Vincere,"$14,726",PlayStation
Saizen,France,16,Europe,Active,Player,,"$16,872",PlayStation
Pryyme,France,22,Europe,Active,Player,,"$15,052",Xbox
Radosin,FranceSerbia,18,Europe,Active,Player,Team Vitality,"$20,038",Not Listed
FlamE,England,22,Europe,Active,Player,,"$103,526",Not Listed
Breezi,WalesEngland,20,Europe,Active,Player,CHI RL,"$26,435",Thrustmaster eSwap Pro Controller
Hibbs,England,19,Europe,Active,Player,,"$24,726",PlayStation
Catalysm,GermanyCuba,20,Europe,Active,Player,Evil Geniuses,"$49,290",PlayStation
Ivn,Austria,19,Europe,Active,Player,Evil Geniuses,"$35,716",PlayStation
Rizex45,Germany,20,Europe,Active,Player,Evil Geniuses,"$47,760",Not Listed
Noly,England,20,Europe,Active,Player,Karmine Corp,"$116,612",Not Listed
Deevo,England,22,Europe,Active,Player,,"$269,518",Not Listed
Bluey.,England,20,Europe,Active,Player,,"$86,793",Not Listed
Crr,Spain,16,Europe,Active,Player,Guild Esports,"$119,794",PlayStation
Zamué,Spain,21,Europe,Active,Player,,"$55,031",PlayStation
Dorito,Spain,18,Europe,Active,Player,ARG,"$115,295",PlayStation
Growlii,England,17,Europe,Active,Player,,"$3,200",Xbox
Rxii,Spain,18,Europe,Active,Player,,"$5,350",PlayStation
Kuxir97,Italy,25,Europe,Active,Player,,"$151,634",PlayStation
AYYJAYY,United States,19,North America,Active,Player,FaZe Clan,"$301,781",PlayStation
Allushin,Canada,22,North America,Active,Player,OpTic Gaming,"$136,450",Not Listed
Firstkiller,United States,17,North America,Active,Player,FaZe Clan,"$306,735",Not Listed
GarrettG,United States,21,North America,Active,Player,The General NRG,"$529,731",PlayStation
Jstn.,United States,20,North America,Active,Player,The General NRG,"$475,997",PlayStation
SquishyMuffinz,Canada,21,North America,Active,Player,The General NRG,"$487,713",PlayStation
JKnaps,Canada,22,North America,Active,Player,G2 Esports,"$482,784",Not Listed
Chicago,United States,21,North America,Active,Player,G2 Esports,"$448,376",PlayStation
Dreaz,United States,16,North America,Active,Player,OpTic Gaming,"$80,648",PlayStation
Sypical,United States,19,North America,Active,Player,FaZe Clan,"$356,176",Not Listed
Arsenal,United States,20,North America,Active,Player,Spacestation Gaming,"$260,680",PlayStation
Retals,United States,19,North America,Active,Player,Spacestation Gaming,"$253,890",PlayStation
Atomic,United States,19,North America,Active,Player,G2 Esports,"$365,633",PlayStation
Mist,United States,19,North America,Active,Player,,"$214,056",Not Listed
Turbopolsa,Sweden,24,North America,Active,Player,OpTic Gaming,"$447,436",PlayStation
LionBlaze,United States,18,North America,Active,Player,,"$73,112",PlayStation
Shock,United States,22,North America,Active,Player,Ghost Gaming,"$58,849",Not Listed
Roll_Dizz,United States,25,North America,Active,Coach,FaZe Clan,"$41,500",Not Listed
Majicbear,United States,17,North America,Active,Player,Torrent,"$38,928",Not Listed
Kinseh,United States,19,North America,Active,Player,Torrent,"$23,540",Not Listed
Jordan,Canada,20,North America,Active,Player,Shopify Rebellion,"$29,117",PlayStation
Rapid,United States,20,North America,Active,Player,XSET,"$57,624",Not Listed
BeastMode,United States,17,North America,Active,Player,Version1,"$116,263",Not Listed
Memory,United States,20,North America,Active,Player,Shopify Rebellion,"$84,859",Not Listed
JPow,United States,20,North America,Active,Player,XSET,"$23,404",PlayStation
Hockser,United States,20,North America,Active,Player,Ghost Gaming,"$56,883",Not Listed
Percy.,United StatesMexico,18,North America,Active,Player,XSET,"$28,137",Not Listed
Blaze.,Canada,17,North America,Active,Player,,"$2,586",PlayStation
NoMansion,United States,17,North America,Active,Player,Gentlemen,"$5,890",Not Listed
Cheese_(American_Player),United States,17,North America,Active,Player,Pittsburgh Knights,"$5,800",PlayStation
Skillz.,United States,20,North America,Active,Player,Limitless,"$14,310",Not Listed
Beeyu,United StatesIndia,17,North America,Active,Player,Limitless,"$5,061",PlayStation
Nitrous,United States,,North America,Active,Player,Limitless,"$5,658",Not Listed
Tcorrell,United States,21,North America,Active,Player,Soniqs,"$32,868",PlayStation
ZPS.,United States,18,North America,Active,Player,Soniqs,"$26,316",PlayStation
Andy,United States,18,North America,Active,Player,Soniqs,"$25,291",PlayStation
Shad,Argentina,19,North America,Active,Player,Complexity Gaming,"$113,111",Not Listed
Reysbull,Chile,18,North America,Active,Player,Complexity Gaming,"$113,494",Not Listed
Ajg,Argentina,18,North America,Active,Player,Complexity Gaming,"$114,564",Not Listed
Beastaboniam,United States,20,North America,Active,Player,,"$17,535",Xbox
Delta,United States,19,North America,Active,Player,Stromboli,"$17,090",Not Listed
AlRaz,United States,20,North America,Active,Player,Stromboli,"$15,550",PlayStation
Turinturo,United States,19,North America,Active,Player,,"$82,321",Not Listed
Taroco.,Canada,19,North America,Active,Player,Rogue,"$96,378",Not Listed
Gyro.,United StatesArmenia,19,North America,Active,Player,Rogue,"$130,961",PlayStation
Gimmick,United States,22,North America,Active,Player,Oxygen Esports,"$243,820",PlayStation
Torment,United States,22,North America,Active,Player,Version1,"$309,727",PlayStation
Comm,United States,18,North America,Active,Player,Version1,"$108,031",Not Listed
Astro,United States,16,North America,Active,Player,Akrew,"$14,005",KBM
Oath,United States,17,North America,Active,Player,Akrew,"$11,812",Not Listed
Fefe,United States,20,North America,Active,Player,Akrew,"$14,143",Not Listed
Ayjacks,United States,21,North America,Active,Player,Louisiana State University,"$47,630",Not Listed
.tristn,United States,21,North America,Inactive,Content Creator/Player,Oxygen Esports,"$57,245",Not Listed
Savvy,United States,,North America,Active,Player,,"$7,594",Not Listed
Ahduhm,United States,18,North America,Active,Player,Nefarious,"$8,111",Not Listed
Buddy,United States,,North America,Active,Player,,"$61,079",Not Listed
HockE,United States,19,North America,Active,Player,,"$37,659",Not Listed
Money,United States,18,North America,Active,Player,,"$9,283",PlayStation
Stokelyy,United States,19,North America,Active,Player,,"$16,397",Not Listed
Xpurt,United States,17,North America,Active,Player,,"$6,021",Not Listed
Toastie,United States,18,North America,Active,Player,Oxygen Esports,"$32,247",Not Listed
Lj.,United States,17,North America,Active,Player,Oxygen Esports,"$35,378",Not Listed
Kraziks,United States,19,North America,Active,Player,,"$17,060",PlayStation
Sosa,CanadaItaly,18,North America,Active,Player,Pittsburgh Knights,"$23,554",Not Listed
AlphaKep,United States,24,North America,Active,Player,Lil Step Bros,"$27,075",PlayStation
ElOmarMaton,United StatesMexico,19,North America,Active,Player,Ducks on Quack,"$10,777",Not Listed
Tool,United States,19,North America,Active,Player,,"$7,010",Not Listed
Bambii,United States,20,North America,Active,Player,University of Central Florida,"$18,102",Not Listed
Jbot,United States,21,North America,Active,Player,,"$9,752",Not Listed
Amphis,Australia,19,Oceania,Active,Player,PWR,"$95,967",Xbox
Torsos,Australia,21,Oceania,Active,Player,PWR,"$163,985",KBM
Express,Australia,24,Oceania,Retired,Player,,"$130,389",PlayStation
Finn,Australia,,Oceania,Active,Player,Kaka's Minions,"$12,707",Not Listed
Tango,Australia,18,Oceania,Retired,Player,,"$14,174",Xbox
Kaka,Australia,,Oceania,Active,Player,Kaka's Minions,"$12,194",Not Listed
CJCJ,Australia,24,Oceania,Retired,Caster,,"$92,571",PlayStation
Kamii,New Zealand,21,Oceania,Active,Player,Renegades,"$118,824",KBM
Fever,AustraliaScotland,17,Oceania,Active,Player,Renegades,"$58,208",Xbox
Fiberr,AustraliaChileArgentina,17,Oceania,Active,Player,Dire Wolves,"$21,207",Thrustmaster eSwap X Pro
Misty_(Australian_Player),Australia,20,Oceania,Active,Player,Dire Wolves,"$23,286",Not Listed
Walcott,Australia,25,Oceania,Active,Player,Ground Zero Gaming,"$30,724",Not Listed
Spratt,New ZealandScotland,22,Oceania,Active,Player,,"$14,774",Xbox
Hawk,Australia,16,Oceania,Active,Player,,"$6,204",PlayStation
Zayd,Australia,20,Oceania,Active,Player,,"$8,227",KBM
Vortexioz,Australia,18,Oceania,Active,Player,,"$9,025",KBM
Snowy,Australia,27,Oceania,Active,Player,,"$5,934",Thrustmaster eSwap Pro Controller
Cobbo,Australia,21,Oceania,Active,Player,,"$10,248",KBM
DelusioN,Australia,21,Oceania,Retired,Player,,"$14,897",Xbox
SSteve,AustraliaPeru,19,Oceania,Active,Player,20 Floors Up,"$9,866",Not Listed
Lerky,Australia,19,Oceania,Active,Player,,"$5,461",KBM
Superlachie,Australia,16,Oceania,Active,Player,Pioneers,"$27,650",Not Listed
Bananahead,Australia,16,Oceania,Active,Player,Pioneers,"$27,545",Not Listed
Scrubbed,Australia,16,Oceania,Active,Player,Pioneers,"$27,539",Not Listed
Decka,Australia,22,Oceania,Banned,Player,,"$59,466",Not Listed
Siki,Australia,22,Oceania,Active,Player,Three One Two's,"$55,921",PlayStation
Cavemanben,Australia,22,Oceania,Active,Player,,"$15,852",KBM
Homie,Australia,20,Oceania,Active,Coach,Senbei Strikers,"$2,084",PlayStation
Change,Australia,,Oceania,Retired,Player,,"$9,157",Not Listed
Ceeva,Australia,19,Oceania,Active,Player,,"$2,967",PlayStation
RemiK,New Zealand,18,Oceania,Active,Player,Physicists,"$2,677",PlayStation
Gussy,Australia,,Oceania,Active,Player,Physicists,"$2,394",Not Listed
Sour,AustraliaNetherlands,17,Oceania,Active,Player,The Kibbles,"$2,710",PlayStation
Tobee,Australia,19,Oceania,Active,Player,,$759,Xbox
Scout,Australia,21,Oceania,Active,Player,,$484,Xbox
Shmoopernator,Australia,,Oceania,Active,Player,,"$1,307",Not Listed
Baked_Potato,Australia,21,Oceania,Active,Player,,"$2,392",Xbox
Laxin,New Zealand,,Oceania,Active,Player,,$917,Not Listed
Melkin,Australia,,Oceania,Active,Player,,$145,Not Listed
Kuma,AustraliaItaly,19,Oceania,Active,Player,20 Floors Up,$344,PlayStation
Jaffa,Australia,,Oceania,Active,Player,,$178,Not Listed
XAimz,Australia,,Oceania,Active,Player,Physicists,"$2,041",Not Listed
Requiem,Australia,,Oceania,Banned,Player,,"$26,463",Unknown
Mock,Australia,,Oceania,Active,Player,Three One Two's,"$6,572",Not Listed
Shorez,Australia,16,Oceania,Active,Player,Kaka's Minions,"$5,033",Not Listed
Jackay,New Zealand,,Oceania,Active,Player,Retirees,$82,Not Listed
Hughesy,Australia,,Oceania,Active,Player,,$85,Not Listed
Caleb.,New Zealand,,Oceania,Active,Player,,$670,Not Listed
Tigr,Australia,17,Oceania,Active,Player,,$17,Not Listed
Kachow,AustraliaCroatia,,Oceania,Active,Player,,$33,Not Listed
